identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LAADS:5184280933,28002002,AQUA(CMR)/MODIS,2020-02-19 06:10:00.000000,2020-02-19 06:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.3418779373169,,
LANCEMODIS:954022092,28002002,AQUA(CMR)/MODIS,2020-02-19 04:30:00.000000,2020-02-19 04:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.39036846160889,,
LANCEMODIS:954067472,28002002,AQUA(CMR)/MODIS,2020-02-19 06:05:00.000000,2020-02-19 06:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.62833499908447,,
LANCEMODIS:954070481,28002002,AQUA(CMR)/MODIS,2020-02-19 06:10:00.000000,2020-02-19 06:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.350790977478,,
LAADS:5183978651,29002002,TERRA/MODIS,2020-02-19 03:05:00.000000,2020-02-19 03:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.1865110397339,,
LANCEMODIS:954617131,29002002,TERRA/MODIS,2020-02-20 02:10:00.000000,2020-02-20 02:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.9625692367554,,
LANCEMODIS:955278463,29002002,TERRA/MODIS,2020-02-21 02:50:00.000000,2020-02-21 02:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.0773086547852,,
LAADS:5186973629,28002002,AQUA(CMR)/MODIS,2020-02-20 05:10:00.000000,2020-02-20 05:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.7686128616333,,
LAADS:5186976242,28002002,AQUA(CMR)/MODIS,2020-02-20 05:15:00.000000,2020-02-20 05:20:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.9857540130615,,
LANCEMODIS:954680446,28002002,AQUA(CMR)/MODIS,2020-02-20 05:10:00.000000,2020-02-20 05:15:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.7646589279175,,
LANCEMODIS:954681807,28002002,AQUA(CMR)/MODIS,2020-02-20 05:15:00.000000,2020-02-20 05:20:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.0024833679199,,
LAADS:5189068055,28002002,AQUA(CMR)/MODIS,2020-02-21 05:55:00.000000,2020-02-21 06:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.9278469085693,,
LANCEMODIS:955348559,28002002,AQUA(CMR)/MODIS,2020-02-21 05:55:00.000000,2020-02-21 06:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.9311466217041,,
LANCEMODIS:955897891,29002002,TERRA/MODIS,2020-02-22 01:55:00.000000,2020-02-22 02:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.7914524078369,,
LANCEMODIS:956548809,29002002,TERRA/MODIS,2020-02-23 02:40:00.000000,2020-02-23 02:45:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.2923154830933,,
LAADS:5190793187,28002002,AQUA(CMR)/MODIS,2020-02-22 05:00:00.000000,2020-02-22 05:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.4702672958374,,
LANCEMODIS:955960838,28002002,AQUA(CMR)/MODIS,2020-02-22 05:00:00.000000,2020-02-22 05:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.421573638916,,
LANCEMODIS:957156980,29002002,TERRA/MODIS,2020-02-24 01:45:00.000000,2020-02-24 01:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.0879697799683,,
LAADS:5191390902,28002002,AQUA(CMR)/MODIS,2020-02-23 05:45:00.000000,2020-02-23 05:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.4083204269409,,
LANCEMODIS:956617142,28002002,AQUA(CMR)/MODIS,2020-02-23 05:45:00.000000,2020-02-23 05:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.4235553741455,,
LAADS:5193005064,29002002,TERRA/MODIS,2020-02-24 01:45:00.000000,2020-02-24 01:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.0845670700073,,
LAADS:5193006584,29002002,TERRA/MODIS,2020-02-24 03:20:00.000000,2020-02-24 03:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.10184478759766,,
LANCEMODIS:957208419,29002002,TERRA/MODIS,2020-02-24 03:20:00.000000,2020-02-24 03:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.11334896087646,,
LAADS:5191779177,28002002,AQUA(CMR)/MODIS,2020-02-24 04:45:00.000000,2020-02-24 04:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.8105363845825,,
LAADS:5191779312,28002002,AQUA(CMR)/MODIS,2020-02-24 04:50:00.000000,2020-02-24 04:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.6654481887817,,
LANCEMODIS:957234018,28002002,AQUA(CMR)/MODIS,2020-02-24 04:45:00.000000,2020-02-24 04:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.8038291931152,,
LANCEMODIS:957234330,28002002,AQUA(CMR)/MODIS,2020-02-24 04:50:00.000000,2020-02-24 04:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.6450166702271,,
LAADS:5196170275,28002002,AQUA(CMR)/MODIS,2020-02-25 05:30:00.000000,2020-02-25 05:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.428617477417,,
